Company Name,Industry,Career Page
Nuvama Wealth Management Ltd.,Financial Services,
Nuvoco Vistas Corporation Ltd.,Construction Materials,
Oberoi Realty Ltd.,Realty,
Oil & Natural Gas Corporation Ltd.,Oil Gas & Consumable Fuels,
Oil India Ltd.,Oil Gas & Consumable Fuels,
Ola Electric Mobility Ltd.,Automobile and Auto Components,
Olectra Greentech Ltd.,Automobile and Auto Components,
One 97 Communications Ltd.,Financial Services,
Onesource Specialty Pharma Ltd.,Healthcare,
Oracle Financial Services Software Ltd.,Information Technology,
PB Fintech Ltd.,Financial Services,
PCBL Chemical Ltd.,Chemicals,
PG Electroplast Ltd.,Consumer Durables,
PI Industries Ltd.,Chemicals,
PNB Housing Finance Ltd.,Financial Services,
PTC Industries Ltd.,Capital Goods,
PVR INOX Ltd.,Media Entertainment & Publication,
Page Industries Ltd.,Textiles,
Paradeep Phosphates Ltd.,Chemicals,
Patanjali Foods Ltd.,Fast Moving Consumer Goods,
Persistent Systems Ltd.,Information Technology,
Petronet LNG Ltd.,Oil Gas & Consumable Fuels,
Pfizer Ltd.,Healthcare,
Phoenix Mills Ltd.,Realty,
Physicswallah Ltd.,Consumer Services,
Pidilite Industries Ltd.,Chemicals,
Pine Labs Ltd.,Financial Services,
Piramal Finance Ltd.,Financial Services,
Piramal Pharma Ltd.,Healthcare,
Poly Medicure Ltd.,Healthcare,
Polycab India Ltd.,Capital Goods,
Poonawalla Fincorp Ltd.,Financial Services,
Power Finance Corporation Ltd.,Financial Services,
Power Grid Corporation of India Ltd.,Power,
Premier Energies Ltd.,Capital Goods,
Prestige Estates Projects Ltd.,Realty,
Punjab National Bank,Financial Services,
R R Kabel Ltd.,Capital Goods,
RBL Bank Ltd.,Financial Services,
REC Ltd.,Financial Services,
RHI MAGNESITA INDIA LTD.,Capital Goods,
RITES Ltd.,Construction,
Radico Khaitan Ltd,Fast Moving Consumer Goods,
Rail Vikas Nigam Ltd.,Construction,
Railtel Corporation Of India Ltd.,Telecommunication,
Rainbow Childrens Medicare Ltd.,Healthcare,
Ramkrishna Forgings Ltd.,Automobile and Auto Components,
Redington Ltd.,Services,
Reliance Industries Ltd.,Oil Gas & Consumable Fuels,
Reliance Power Ltd.,Power,
SBFC Finance Ltd.,Financial Services,
SBI Cards and Payment Services Ltd.,Financial Services,
SBI Life Insurance Company Ltd.,Financial Services,
SJVN Ltd.,Power,
SRF Ltd.,Chemicals,
Sagility Ltd.,Information Technology,
Sai Life Sciences Ltd.,Healthcare,
Sammaan Capital Ltd.,Financial Services,
Samvardhana Motherson International Ltd.,Automobile and Auto Components,
Sapphire Foods India Ltd.,Consumer Services,
Sarda Energy and Minerals Ltd.,Metals & Mining,
Saregama India Ltd,Media Entertainment & Publication,
Schaeffler India Ltd.,Automobile and Auto Components,
Schneider Electric Infrastructure Ltd.,Capital Goods,
Shipping Corporation of India Ltd.,Services,
Shree Cement Ltd.,Construction Materials,
Shriram Finance Ltd.,Financial Services,
Shyam Metalics and Energy Ltd.,Capital Goods,
Siemens Energy India Ltd.,Capital Goods,
Siemens Ltd.,Capital Goods,
Signatureglobal (India) Ltd.,Realty,
Sobha Ltd.,Realty,
Solar Industries India Ltd.,Chemicals,
Sona BLW Precision Forgings Ltd.,Automobile and Auto Components,
Sonata Software Ltd.,Information Technology,
Star Health and Allied Insurance Company Ltd.,Financial Services,
State Bank of India,Financial Services,
